"Plot Title: 10949901"
"#","Date Time, GMT-07:00","Abs Pres, psi (LGR S/N: 10949901, SEN S/N: 10949901)","Temp, °F (LGR S/N: 10949901, SEN S/N: 10949901)","Coupler Detached (LGR S/N: 10949901)","Coupler Attached (LGR S/N: 10949901)","Host Connected (LGR S/N: 10949901)","End Of File (LGR S/N: 10949901)"
1,04/25/20 08:30:00 AM,15.4487,43.831,Logged,,,
2,04/25/20 09:00:00 AM,15.4162,40.696,,,,
3,04/25/20 09:30:00 AM,15.4014,40.509,,,,
4,04/25/20 10:00:00 AM,12.3740,40.509,,,,
5,04/25/20 10:30:00 AM,12.3743,63.282,,,,
6,04/25/20 11:00:00 AM,12.3743,62.254,,,,
7,04/25/20 11:30:00 AM,12.3767,63.111,,,,
8,04/25/20 12:00:00 PM,12.3737,61.569,,,,
9,04/25/20 12:30:00 PM,12.3727,60.712,,,,
10,04/25/20 01:00:00 PM,12.4396,60.883,,,,
11,04/25/20 01:30:00 PM,12.4017,64.481,,,,
12,04/25/20 02:00:00 PM,12.4009,67.221,,,,
13,04/25/20 02:30:00 PM,12.6799,49.759,,,,
14,04/25/20 03:00:00 PM,12.6747,44.195,,,,
15,04/25/20 03:30:00 PM,12.6743,43.099,,,,
16,04/25/20 04:00:00 PM,12.6741,42.548,,,,
17,04/25/20 04:30:00 PM,12.6721,42.363,,,,
18,04/25/20 05:00:00 PM,12.6717,42.179,,,,
19,04/25/20 05:30:00 PM,12.6738,41.994,,,,
20,04/25/20 06:00:00 PM,12.6733,41.810,,,,
21,04/25/20 06:30:00 PM,12.6733,41.810,,,,
22,04/25/20 07:00:00 PM,12.6747,41.810,,,,
23,04/25/20 07:30:00 PM,12.6714,41.625,,,,
24,04/25/20 08:00:00 PM,12.6699,41.625,,,,
25,04/25/20 08:30:00 PM,12.6741,41.625,,,,
26,04/25/20 09:00:00 PM,12.6785,41.625,,,,
27,04/25/20 09:30:00 PM,12.6827,41.625,,,,
28,04/25/20 10:00:00 PM,12.6882,41.625,,,,
29,04/25/20 10:30:00 PM,12.6882,41.625,,,,
30,04/25/20 11:00:00 PM,12.6869,41.625,,,,
31,04/25/20 11:30:00 PM,12.6878,41.439,,,,
32,04/26/20 12:00:00 AM,12.6920,41.439,,,,
33,04/26/20 12:30:00 AM,12.6920,41.439,,,,
34,04/26/20 01:00:00 AM,12.6905,41.439,,,,
35,04/26/20 01:30:00 AM,12.6934,41.439,,,,
36,04/26/20 02:00:00 AM,12.6905,41.439,,,,
37,04/26/20 02:30:00 AM,12.6920,41.439,,,,
38,04/26/20 03:00:00 AM,12.6905,41.439,,,,
39,04/26/20 03:30:00 AM,12.6920,41.439,,,,
40,04/26/20 04:00:00 AM,12.6905,41.439,,,,
41,04/26/20 04:30:00 AM,12.6934,41.439,,,,
42,04/26/20 05:00:00 AM,12.6920,41.439,,,,
43,04/26/20 05:30:00 AM,12.6905,41.439,,,,
44,04/26/20 06:00:00 AM,12.6934,41.439,,,,
45,04/26/20 06:30:00 AM,12.6934,41.439,,,,
46,04/26/20 07:00:00 AM,12.6976,41.439,,,,
47,04/26/20 07:30:00 AM,12.6989,41.439,,,,
48,04/26/20 08:00:00 AM,12.7018,41.439,,,,
49,04/26/20 08:30:00 AM,12.7046,41.439,,,,
50,04/26/20 09:00:00 AM,12.7046,41.439,,,,
51,04/26/20 09:30:00 AM,12.7060,41.439,,,,
52,04/26/20 10:00:00 AM,12.7102,41.439,,,,
53,04/26/20 10:30:00 AM,12.7102,41.439,,,,
54,04/26/20 11:00:00 AM,12.7102,41.439,,,,
55,04/26/20 11:30:00 AM,12.7117,41.439,,,,
56,04/26/20 12:00:00 PM,12.7102,41.439,,,,
57,04/26/20 12:30:00 PM,12.7075,41.439,,,,
58,04/26/20 01:00:00 PM,12.7046,41.439,,,,
59,04/26/20 01:30:00 PM,12.7031,41.439,,,,
60,04/26/20 02:00:00 PM,12.7031,41.439,,,,
61,04/26/20 02:30:00 PM,12.7031,41.439,,,,
62,04/26/20 03:00:00 PM,12.7046,41.439,,,,
63,04/26/20 03:30:00 PM,12.7046,41.439,,,,
64,04/26/20 04:00:00 PM,12.7031,41.439,,,,
65,04/26/20 04:30:00 PM,12.7060,41.439,,,,
66,04/26/20 05:00:00 PM,12.7060,41.439,,,,
67,04/26/20 05:30:00 PM,12.7075,41.439,,,,
68,04/26/20 06:00:00 PM,12.7102,41.439,,,,
69,04/26/20 06:30:00 PM,12.7102,41.439,,,,
70,04/26/20 07:00:00 PM,12.7117,41.439,,,,
71,04/26/20 07:30:00 PM,12.7186,41.439,,,,
72,04/26/20 08:00:00 PM,12.7173,41.439,,,,
73,04/26/20 08:30:00 PM,12.7201,41.439,,,,
74,04/26/20 09:00:00 PM,12.7285,41.439,,,,
75,04/26/20 09:30:00 PM,12.7327,41.439,,,,
76,04/26/20 10:00:00 PM,12.7398,41.439,,,,
77,04/26/20 10:30:00 PM,12.7455,41.439,,,,
78,04/26/20 11:00:00 PM,12.7455,41.439,,,,
79,04/26/20 11:30:00 PM,12.7455,41.439,,,,
80,04/27/20 12:00:00 AM,12.7426,41.439,,,,
81,04/27/20 12:30:00 AM,12.7482,41.439,,,,
82,04/27/20 01:00:00 AM,12.7482,41.439,,,,
83,04/27/20 01:30:00 AM,12.7497,41.439,,,,
84,04/27/20 02:00:00 AM,12.7497,41.439,,,,
85,04/27/20 02:30:00 AM,12.7511,41.439,,,,
86,04/27/20 03:00:00 AM,12.7503,41.625,,,,
87,04/27/20 03:30:00 AM,12.7503,41.625,,,,
88,04/27/20 04:00:00 AM,12.7516,41.625,,,,
89,04/27/20 04:30:00 AM,12.7572,41.625,,,,
90,04/27/20 05:00:00 AM,12.7530,41.625,,,,
91,04/27/20 05:30:00 AM,12.7530,41.625,,,,
92,04/27/20 06:00:00 AM,12.7572,41.625,,,,
93,04/27/20 06:30:00 AM,12.7601,41.625,,,,
94,04/27/20 07:00:00 AM,12.7685,41.625,,,,
95,04/27/20 07:30:00 AM,12.7713,41.625,,,,
96,04/27/20 08:00:00 AM,12.7784,41.625,,,,
97,04/27/20 08:30:00 AM,12.7812,41.625,,,,
98,04/27/20 09:00:00 AM,12.7812,41.625,,,,
99,04/27/20 09:30:00 AM,12.7812,41.625,,,,
100,04/27/20 10:00:00 AM,12.7854,41.625,,,,
101,04/27/20 10:30:00 AM,12.7883,41.625,,,,
102,04/27/20 11:00:00 AM,12.7910,41.625,,,,
103,04/27/20 11:30:00 AM,12.7939,41.625,,,,
104,04/27/20 12:00:00 PM,12.7925,41.625,,,,
105,04/27/20 12:30:00 PM,12.7925,41.625,,,,
106,04/27/20 01:00:00 PM,12.7925,41.625,,,,
107,04/27/20 01:30:00 PM,12.7925,41.625,,,,
108,04/27/20 02:00:00 PM,12.7925,41.625,,,,
109,04/27/20 02:30:00 PM,12.7939,41.625,,,,
110,04/27/20 03:00:00 PM,12.7967,41.625,,,,
111,04/27/20 03:30:00 PM,12.7967,41.625,,,,
112,04/27/20 04:00:00 PM,12.7967,41.625,,,,
113,04/27/20 04:30:00 PM,12.7967,41.625,,,,
114,04/27/20 05:00:00 PM,12.8009,41.625,,,,
115,04/27/20 05:30:00 PM,12.8023,41.625,,,,
116,04/27/20 06:00:00 PM,12.8038,41.625,,,,
117,04/27/20 06:30:00 PM,12.8051,41.625,,,,
118,04/27/20 07:00:00 PM,12.8080,41.625,,,,
119,04/27/20 07:30:00 PM,12.8093,41.625,,,,
120,04/27/20 08:00:00 PM,12.8136,41.625,,,,
121,04/27/20 08:30:00 PM,12.8164,41.625,,,,
122,04/27/20 09:00:00 PM,12.8164,41.625,,,,
123,04/27/20 09:30:00 PM,12.8248,41.625,,,,
124,04/27/20 10:00:00 PM,12.8263,41.625,,,,
125,04/27/20 10:30:00 PM,12.8305,41.625,,,,
126,04/27/20 11:00:00 PM,12.8305,41.625,,,,
127,04/27/20 11:30:00 PM,12.8305,41.625,,,,
128,04/28/20 12:00:00 AM,12.8347,41.625,,,,
129,04/28/20 12:30:00 AM,12.8361,41.625,,,,
130,04/28/20 01:00:00 AM,12.8361,41.625,,,,
131,04/28/20 01:30:00 AM,12.8376,41.625,,,,
132,04/28/20 02:00:00 AM,12.8376,41.625,,,,
133,04/28/20 02:30:00 AM,12.8389,41.625,,,,
134,04/28/20 03:00:00 AM,12.8376,41.625,,,,
135,04/28/20 03:30:00 AM,12.8382,41.810,,,,
136,04/28/20 04:00:00 AM,12.8395,41.810,,,,
137,04/28/20 04:30:00 AM,12.8382,41.810,,,,
138,04/28/20 05:00:00 AM,12.8395,41.810,,,,
139,04/28/20 05:30:00 AM,12.8409,41.810,,,,
140,04/28/20 06:00:00 AM,12.8409,41.810,,,,
141,04/28/20 06:30:00 AM,12.8395,41.810,,,,
142,04/28/20 07:00:00 AM,12.8437,41.810,,,,
143,04/28/20 07:30:00 AM,12.8480,41.810,,,,
144,04/28/20 08:00:00 AM,12.8480,41.810,,,,
145,04/28/20 08:30:00 AM,12.8466,41.810,,,,
146,04/28/20 09:00:00 AM,12.8480,41.810,,,,
147,04/28/20 09:30:00 AM,12.8480,41.810,,,,
148,04/28/20 10:00:00 AM,12.8493,41.810,,,,
149,04/28/20 10:30:00 AM,12.8480,41.810,,,,
150,04/28/20 11:00:00 AM,12.8508,41.810,,,,
151,04/28/20 11:30:00 AM,12.8493,41.810,,,,
152,04/28/20 12:00:00 PM,12.8451,41.810,,,,
153,04/28/20 12:30:00 PM,12.8424,41.810,,,,
154,04/28/20 01:00:00 PM,12.8409,41.810,,,,
155,04/28/20 01:30:00 PM,12.8395,41.810,,,,
156,04/28/20 02:00:00 PM,12.8367,41.810,,,,
157,04/28/20 02:30:00 PM,12.8338,41.810,,,,
158,04/28/20 03:00:00 PM,12.8311,41.810,,,,
159,04/28/20 03:30:00 PM,12.8268,41.810,,,,
160,04/28/20 04:00:00 PM,12.8268,41.810,,,,
161,04/28/20 04:30:00 PM,12.8226,41.810,,,,
162,04/28/20 05:00:00 PM,12.8212,41.810,,,,
163,04/28/20 05:30:00 PM,12.8184,41.810,,,,
164,04/28/20 06:00:00 PM,12.8170,41.810,,,,
165,04/28/20 06:30:00 PM,12.8212,41.810,,,,
166,04/28/20 07:00:00 PM,12.8197,41.810,,,,
167,04/28/20 07:30:00 PM,12.8212,41.810,,,,
168,04/28/20 08:00:00 PM,12.8254,41.810,,,,
169,04/28/20 08:30:00 PM,12.8254,41.810,,,,
170,04/28/20 09:00:00 PM,12.8325,41.810,,,,
171,04/28/20 09:30:00 PM,12.8353,41.810,,,,
172,04/28/20 10:00:00 PM,12.8395,41.810,,,,
173,04/28/20 10:30:00 PM,12.8424,41.810,,,,
174,04/28/20 11:00:00 PM,12.8437,41.810,,,,
175,04/28/20 11:30:00 PM,12.8409,41.810,,,,
176,04/29/20 12:00:00 AM,12.8424,41.810,,,,
177,04/29/20 12:30:00 AM,12.8437,41.810,,,,
178,04/29/20 01:00:00 AM,12.8409,41.810,,,,
179,04/29/20 01:30:00 AM,12.8395,41.810,,,,
180,04/29/20 02:00:00 AM,12.8395,41.810,,,,
181,04/29/20 02:30:00 AM,12.8338,41.810,,,,
182,04/29/20 03:00:00 AM,12.8325,41.810,,,,
183,04/29/20 03:30:00 AM,12.8316,41.994,,,,
184,04/29/20 04:00:00 AM,12.8316,41.994,,,,
185,04/29/20 04:30:00 AM,12.8316,41.994,,,,
186,04/29/20 05:00:00 AM,12.8302,41.994,,,,
187,04/29/20 05:30:00 AM,12.8316,41.994,,,,
188,04/29/20 06:00:00 AM,12.8287,41.994,,,,
189,04/29/20 06:30:00 AM,12.8316,41.994,,,,
190,04/29/20 07:00:00 AM,12.8316,41.994,,,,
191,04/29/20 07:30:00 AM,12.8344,41.994,,,,
192,04/29/20 08:00:00 AM,12.8373,41.994,,,,
193,04/29/20 08:30:00 AM,12.8400,41.994,,,,
194,04/29/20 09:00:00 AM,12.8386,41.994,,,,
195,04/29/20 09:30:00 AM,12.8386,41.994,,,,
196,04/29/20 10:00:00 AM,12.8358,41.994,,,,
197,04/29/20 10:30:00 AM,12.8358,41.994,,,,
198,04/29/20 11:00:00 AM,12.8344,41.994,,,,
199,04/29/20 11:30:00 AM,12.8358,41.994,,,,
200,04/29/20 12:00:00 PM,12.8331,41.994,,,,
201,04/29/20 12:30:00 PM,12.8302,41.994,,,,
202,04/29/20 01:00:00 PM,12.8260,41.994,,,,
203,04/29/20 01:30:00 PM,12.8260,41.994,,,,
204,04/29/20 02:00:00 PM,12.8260,41.994,,,,
